15	9	E	-5909075.514914535	113
emissionprobs	12	5	H3k4me3	0	0.894460267266148
emissionprobs	12	5	H3k4me3	1	0.10553973273385187
emissionprobs	12	6	H3k79me2	0	0.977598873855721
emissionprobs	12	6	H3k79me2	1	0.022401126144278985
emissionprobs	12	7	H3k9me1	0	0.9031782577920607
emissionprobs	12	7	H3k9me1	1	0.0968217422079392
emissionprobs	12	8	H4k20me1	0	0.8279861558655498
emissionprobs	12	8	H4k20me1	1	0.1720138441344503
emissionprobs	13	0	H3K9ac	0	0.9999384670196083
emissionprobs	13	0	H3K9ac	1	6.153298039171905E-5
emissionprobs	13	1	H3k09me3	0	0.8860447907055213
emissionprobs	13	1	H3k09me3	1	0.11395520929447855
emissionprobs	13	2	H3k27me3	0	0.999517129788492
emissionprobs	13	2	H3k27me3	1	4.828702115080694E-4
emissionprobs	13	3	H3k36me3	0	0.9993100240902716
emissionprobs	13	3	H3k36me3	1	6.899759097282764E-4
emissionprobs	13	4	H3k4me2	0	0.9998337321951478
emissionprobs	13	4	H3k4me2	1	1.6626780485222127E-4
emissionprobs	13	5	H3k4me3	0	0.9997660171241189
emissionprobs	13	5	H3k4me3	1	2.3398287588120126E-4
emissionprobs	13	6	H3k79me2	0	0.9999579609146615
emissionprobs	13	6	H3k79me2	1	4.2039085338610136E-5
emissionprobs	13	7	H3k9me1	0	0.9995472640119232
emissionprobs	13	7	H3k9me1	1	4.527359880769391E-4
emissionprobs	13	8	H4k20me1	0	0.999221555591179
emissionprobs	13	8	H4k20me1	1	7.784444088210258E-4
emissionprobs	14	0	H3K9ac	0	0.9997688477713369
emissionprobs	14	0	H3K9ac	1	2.3115222866323585E-4
emissionprobs	14	1	H3k09me3	0	0.9983696360961495
emissionprobs	14	1	H3k09me3	1	0.0016303639038504644
emissionprobs	14	2	H3k27me3	0	0.9952469017245568
emissionprobs	14	2	H3k27me3	1	0.0047530982754432115
emissionprobs	14	3	H3k36me3	0	0.9987864788320191
emissionprobs	14	3	H3k36me3	1	0.001213521167980808
emissionprobs	14	4	H3k4me2	0	0.9999322718816737
emissionprobs	14	4	H3k4me2	1	6.772811832634456E-5
emissionprobs	14	5	H3k4me3	0	0.9999260350170089
emissionprobs	14	5	H3k4me3	1	7.396498299099329E-5
emissionprobs	14	6	H3k79me2	0	0.9998734965992777
emissionprobs	14	6	H3k79me2	1	1.2650340072233227E-4
emissionprobs	14	7	H3k9me1	0	0.998317016354413
emissionprobs	14	7	H3k9me1	1	0.0016829836455871142
emissionprobs	14	8	H4k20me1	0	0.9989661060587203
emissionprobs	14	8	H4k20me1	1	0.001033893941279742
emissionprobs	15	0	H3K9ac	0	0.9996829799603912
emissionprobs	15	0	H3K9ac	1	3.170200396088298E-4
emissionprobs	15	1	H3k09me3	0	0.9986229801720511
emissionprobs	15	1	H3k09me3	1	0.0013770198279488776
emissionprobs	15	2	H3k27me3	0	0.6263627600438865
emissionprobs	15	2	H3k27me3	1	0.37363723995611353
emissionprobs	15	3	H3k36me3	0	0.9996498701735482
emissionprobs	15	3	H3k36me3	1	3.501298264517951E-4
emissionprobs	15	4	H3k4me2	0	0.9981771658632427
emissionprobs	15	4	H3k4me2	1	0.0018228341367572322
emissionprobs	15	5	H3k4me3	0	0.9999386426126285
emissionprobs	15	5	H3k4me3	1	6.135738737145948E-5
emissionprobs	15	6	H3k79me2	0	0.9999112989651425
emissionprobs	15	6	H3k79me2	1	8.870103485742728E-5
emissionprobs	15	7	H3k9me1	0	0.9973016310281204
emissionprobs	15	7	H3k9me1	1	0.0026983689718796068
emissionprobs	15	8	H4k20me1	0	0.9958212232269499
emissionprobs	15	8	H4k20me1	1	0.004178776773050124
